Time Step,Time,RAIN_RATE,GIUH_RUNOFF,INFILTRATION_EXCESS,DIRECT_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_TO_GW_FLUX,Q_OUT,POTENTIAL_ET,ACTUAL_ET,GW_STORAGE,SOIL_STORAGE,SOIL_STORAGE_CHANGE,SURF_RUNOFF_SCHEME,NWM_PONDED_DEPTH
0,2020-01-01 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000073,0.000000,0.003959,0.047550,0.000000,1.000000,0.000000
1,2020-01-01 01:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000056,0.000000,0.003951,0.047550,0.000000,1.000000,0.000000
2,2020-01-01 02:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000043,0.000000,0.003942,0.047550,0.000000,1.000000,0.000000
3,2020-01-01 03:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000036,0.000000,0.003933,0.047550,0.000000,1.000000,0.000000
4,2020-01-01 04:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000026,0.000000,0.003924,0.047550,0.000000,1.000000,0.000000
5,2020-01-01 05:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000023,0.000000,0.003916,0.047550,0.000000,1.000000,0.000000
6,2020-01-01 06:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003907,0.047550,0.000000,1.000000,0.000000
7,2020-01-01 07:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003898,0.047550,0.000000,1.000000,0.000000
8,2020-01-01 08:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003890,0.047550,0.000000,1.000000,0.000000
9,2020-01-01 09:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003881,0.047550,0.000000,1.000000,0.000000
10,2020-01-01 10:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003873,0.047550,0.000000,1.000000,0.000000
11,2020-01-01 11:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003864,0.047550,0.000000,1.000000,0.000000
12,2020-01-01 12:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003855,0.047550,0.000000,1.000000,0.000000
13,2020-01-01 13:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003847,0.047550,0.000000,1.000000,0.000000
14,2020-01-01 14:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003838,0.047550,0.000000,1.000000,0.000000
15,2020-01-01 15:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003830,0.047550,0.000000,1.000000,0.000000
16,2020-01-01 16:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003821,0.047550,0.000000,1.000000,0.000000
17,2020-01-01 17:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003813,0.047550,0.000000,1.000000,0.000000
18,2020-01-01 18:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000075,0.000000,0.003805,0.047550,0.000000,1.000000,0.000000
19,2020-01-01 19:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000083,0.000000,0.003796,0.047550,0.000000,1.000000,0.000000
20,2020-01-01 20:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000081,0.000000,0.003788,0.047550,0.000000,1.000000,0.000000
21,2020-01-01 21:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000068,0.000000,0.003780,0.047550,0.000000,1.000000,0.000000
22,2020-01-01 22:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000054,0.000000,0.003771,0.047550,0.000000,1.000000,0.000000
23,2020-01-01 23:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000050,0.000000,0.003763,0.047550,0.000000,1.000000,0.000000
24,2020-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000047,0.000000,0.003755,0.047550,0.000000,1.000000,0.000000
25,2020-01-02 01:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000047,0.000000,0.003746,0.047550,0.000000,1.000000,0.000000
26,2020-01-02 02:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000043,0.000000,0.003738,0.047550,0.000000,1.000000,0.000000
27,2020-01-02 03:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000040,0.000000,0.003730,0.047550,0.000000,1.000000,0.000000
28,2020-01-02 04:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000038,0.000000,0.003722,0.047550,0.000000,1.000000,0.000000
29,2020-01-02 05:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000037,0.000000,0.003714,0.047550,0.000000,1.000000,0.000000
30,2020-01-02 06:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000030,0.000000,0.003706,0.047550,0.000000,1.000000,0.000000
31,2020-01-02 07:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000026,0.000000,0.003697,0.047550,0.000000,1.000000,0.000000
