iteration,b,satpsi,satdk,maxsmc,refkdt,slope,max_gw_storage,expon,Cgw,Klf,Kn,RSURF_EXP,CWP,MP,VCMX25,MFSNO,RSURF_SNOW,SCAMAX
0,4.05,0.355,3.38e-06,0.439,1.0,0.1,0.05,3.0,1.8e-05,0.01,0.03,5.0,0.18,9.0,52.2,2.0,50.0,0.9
1,2.442191223259844,0.09438099402590117,6.977723066878109e-05,0.3816960317526238,0.578426449735111,0.27168656748242315,0.13465713937421064,4.001603848774195,0.0009004191668354045,0.02807721036722169,0.21414407648126296,3.1111931282014673,0.14197787507145088,6.633162233172911,28.780599379275742,2.8781390528957873,56.61037424601156,0.8892963246672317
2,4.05,0.355,0.00017668088081244622,0.439,2.141781451145272,0.1693480400479747,0.04796603204930671,1.909703394233024,0.00032356855219408087,0.01,0.03,4.697916072614661,0.18,7.56523156275822,40.73737893534185,2.0,50.0,0.9479589094531367
3,4.05,0.17517979156581995,3.38e-06,0.47549806326546296,1.0,0.13439468709950103,0.02985276761943039,3.0,1.8e-05,0.01,0.03,5.0,0.18,9.66302641655918,52.2,2.0,46.58988013401926,0.9
4,4.05,0.17517979156581995,3.38e-06,0.47549806326546296,1.0,0.16401059207452204,0.02985276761943039,3.0,1.8e-05,0.01,0.03,5.0,0.18,9.66302641655918,52.2,2.0,46.58988013401926,0.9120131823438381
5,4.05,0.17517979156581995,3.38e-06,0.47549806326546296,1.0,0.16401059207452204,0.02985276761943039,3.0,1.8e-05,0.01,0.03,5.0,0.18,9.66302641655918,52.2,2.0,32.135987833745844,0.9120131823438381
